Unnamed: 0,frame_number,body_x,body_y,body_prob,time,headings,in_arena,body_x_cm,body_y_cm,rel_x,rel_y,rel_x_cm,rel_y_cm,food_rel_x,food_rel_y,food_rel_x_cm,food_rel_y_cm,dist_to_food_cm
454,454,748.3487548828125,384.7836608886719,0.99930739402771,15.133333333333333,100.33704695220597,1.0,65.74635998546383,33.8052611436132,142.3487548828125,275.7836608886719,12.506084123135208,24.2290399076498,125.3487548828125,-229.21633911132807,11.012545031287704,-20.13785664429072,22.9523292563553
455,455,748.0836791992188,386.7135925292969,0.9993663430213928,15.166666666666666,97.8206289954557,1.0,65.7230716974788,33.974815752428896,142.08367919921875,277.7135925292969,12.48279583515018,24.398594516465497,125.08367919921876,-227.28640747070312,10.989256743302676,-19.96830203547502,22.79247353733638
456,456,747.1273193359375,388.5584106445313,0.9988945126533508,15.2,117.40237404725978,1.0,65.63905047149736,34.13689269198484,141.1273193359375,279.5584106445313,12.39877460916874,24.56067145602144,124.1273193359375,-225.4415893554687,10.905235517321238,-19.80622509591908,22.609969355097746
457,457,746.2399291992188,391.80902099609375,0.9990676045417786,15.233333333333333,105.26922748866626,1.0,65.56108859744387,34.42247584683323,140.23992919921875,282.8090209960937,12.320812735115249,24.84625461086983,123.23992919921876,-222.19097900390625,10.827273643267748,-19.52064194107069,22.32230535445854
458,458,745.733642578125,393.43170166015625,0.998830258846283,15.266666666666666,107.32825171752232,1.0,65.51660866448606,34.56503684714867,139.733642578125,284.43170166015625,12.27633280215743,24.988815611185267,122.733642578125,-220.56829833984372,10.782793710309928,-19.37808094075525,22.176083088443757
459,459,744.5277709960938,396.5697021484375,0.99948251247406,15.3,111.02078132806484,1.0,65.41066652639714,34.84072663535364,138.52777099609375,287.5697021484375,12.17039066406851,25.264505399390245,121.52777099609376,-217.4302978515625,10.676851572221008,-19.102391152550272,21.883704148070297
460,460,743.1439208984375,398.9378356933594,0.999566376209259,15.333333333333334,120.30044341187627,1.0,65.28908804297909,35.04877957794518,137.1439208984375,289.9378356933594,12.048812180650474,25.472558341981788,120.1439208984375,-215.06216430664065,10.555273088802972,-18.89433820995873,21.642777233329245
461,461,742.25634765625,400.6467590332031,0.999403953552246,15.366666666666667,117.44626777679484,1.0,65.21111008215057,35.19891744929973,136.25634765625,291.6467590332031,11.970834219821953,25.62269621333633,119.25634765625,-213.35324096679688,10.47729512797445,-18.744200338604188,21.473675966923
462,462,740.7734985351562,402.4224243164063,0.9995554089546204,15.4,129.8650868368292,1.0,65.08083401569968,35.354918950152694,134.77349853515625,293.4224243164063,11.840558153371058,25.77869771418929,117.77349853515624,-211.5775756835937,10.347019061523556,-18.58819883775122,21.273973288770193
463,463,739.14697265625,405.0733947753906,0.9995390176773072,15.433333333333334,121.53155749746746,1.0,64.93793519310861,35.58782059790717,133.14697265625,296.0733947753906,11.697659330779992,26.01159936194377,116.14697265625,-208.92660522460935,10.204120238932491,-18.35529718999675,21.0009762816802
464,464,737.6950073242188,406.7070617675781,0.9995818734169006,15.466666666666669,131.62995175651605,1.0,64.81037242937944,35.7313468047244,131.69500732421875,297.7070617675781,11.570096567050816,26.155125568761,114.69500732421876,-207.29293823242188,10.076557475203312,-18.21177098317952,20.813592022879067
