scorer,DLC_resnet50_ant_transfer_learnJul17shuffle1_300000,DLC_resnet50_ant_transfer_learnJul17shuffle1_300000,DLC_resnet50_ant_transfer_learnJul17shuffle1_300000
bodyparts,body,body,body
coords,x,y,likelihood
0,756.2088623046875,2.4493613243103027,0.3365345299243927
1,756.2342529296875,2.645608425140381,0.29843026399612427
2,756.2342529296875,3.2663776874542236,0.018487760797142982
3,756.2088623046875,3.306514024734497,0.02091880887746811
4,599.1129760742188,73.56477355957031,0.9779335260391235
5,598.2933959960938,128.4695587158203,0.999467670917511
6,598.2719116210938,128.57485961914062,0.9996311664581299
7,598.2933959960938,128.75714111328125,0.9995668530464172
8,598.2936401367188,128.78192138671875,0.9995973706245422
9,598.2933959960938,128.80674743652344,0.9996050000190735
10,598.2936401367188,128.8760986328125,0.9996218681335449
11,598.308837890625,128.92413330078125,0.9996399879455566
12,598.2936401367188,128.92413330078125,0.9996374845504761
13,598.2927856445312,128.93212890625,0.9996316432952881
14,598.31201171875,128.93997192382812,0.9996421337127686
15,598.3202514648438,128.92425537109375,0.9996674060821533
16,598.2927856445312,128.92425537109375,0.9996176958084106
17,598.34521484375,128.9522247314453,0.9996302127838135
18,598.34521484375,128.9522247314453,0.999626636505127
19,598.31640625,128.92425537109375,0.9995952248573303
20,598.2130126953125,128.8377685546875,0.9996089339256287
21,598.2103271484375,128.98423767089844,0.9995985627174377
22,598.182861328125,128.98423767089844,0.9996219873428345
23,598.12548828125,129.79034423828125,0.9997186064720154
24,598.11083984375,129.7948455810547,0.9997195601463318
25,597.9262084960938,130.9498291015625,0.9997552037239075
26,597.4100952148438,132.8684844970703,0.999702513217926
27,597.1192016601562,134.52352905273438,0.9996589422225952
28,597.0578002929688,134.55026245117188,0.9996687173843384
29,597.00439453125,134.5522918701172,0.9996695518493652
30,596.884521484375,134.5630645751953,0.9997005462646484
31,596.884521484375,134.5630645751953,0.9996902942657471
32,596.884521484375,134.5522918701172,0.9997016787528992
33,596.9057006835938,134.5522918701172,0.9996860027313232
34,596.9105834960938,134.6485595703125,0.9996832609176636
35,596.9105834960938,134.65077209472656,0.9996738433837891
36,596.9105834960938,134.6555633544922,0.9996726512908936
37,596.8941650390625,134.65586853027344,0.9996711015701294
38,596.3602905273438,134.84730529785156,0.9996917247772217
39,595.0648193359375,135.7411346435547,0.999653697013855
40,592.3082885742188,136.83839416503906,0.9994237422943115
41,589.6707763671875,137.4729766845703,0.999228835105896
42,587.7891235351562,137.5466766357422,0.9993634819984436
43,586.8045043945312,137.90684509277344,0.9994404911994934
44,586.6304321289062,138.03811645507812,0.9994361996650696
45,586.6168212890625,138.03811645507812,0.9994090795516968
46,586.6096801757812,138.03811645507812,0.9994391798973083
47,586.6056518554688,138.01507568359375,0.9994435906410217
48,586.6096801757812,138.01507568359375,0.9994481205940247
49,586.6040649414062,138.01507568359375,0.9994342923164368
50,586.6040649414062,138.05401611328125,0.9993999004364014
51,586.59814453125,138.05401611328125,0.9993904829025269
52,586.588623046875,138.05401611328125,0.9993923902511597
53,586.5543823242188,138.00564575195312,0.9994823932647705
54,584.8865966796875,137.01107788085938,0.9992983341217041
55,583.8834228515625,135.38587951660156,0.9995567202568054
56,583.2023315429688,135.19842529296875,0.9996153116226196
57,580.8914794921875,133.2382354736328,0.9995915293693542
58,579.580078125,130.7630615234375,0.9995622038841248
59,578.9745483398438,129.64080810546875,0.9994856119155884
60,578.9390258789062,129.53326416015625,0.9994969367980957
61,578.7488403320312,127.11066436767578,0.999140739440918
62,578.511962890625,126.58438873291016,0.9989528656005859
63,578.450439453125,125.87289428710938,0.998816728591919
64,578.450439453125,125.85350036621094,0.9989134073257446
65,578.450439453125,125.85350036621094,0.9989489912986755
66,578.4417114257812,125.83069610595703,0.9988777041435242
67,578.450439453125,125.82191467285156,0.9989529848098755
68,578.5166625976562,125.82015991210938,0.9990060925483704
69,578.5359497070312,124.45903015136719,0.998711347579956
70,578.6158447265625,123.10210418701172,0.99874347448349
71,578.62255859375,120.64554595947266,0.9994791150093079
