route_name,img_name,x_m,y_m,z_m,heading
full_grid,rgb_0000.png,-0.17,-0.443,0.43,180
full_grid,rgb_0001.png,-0.145,-0.443,0.43,180
full_grid,rgb_0002.png,-0.12000000000000002,-0.443,0.43,180
full_grid,rgb_0003.png,-0.095,-0.443,0.43,180
full_grid,rgb_0004.png,-0.07,-0.443,0.43,180
full_grid,rgb_0005.png,-0.04500000000000001,-0.443,0.43,180
full_grid,rgb_0006.png,-0.01999999999999999,-0.443,0.43,180
full_grid,rgb_0007.png,0.0050000000000000044,-0.443,0.43,180
full_grid,rgb_0008.png,0.03,-0.443,0.43,180
full_grid,rgb_0009.png,0.05499999999999999,-0.443,0.43,180
full_grid,rgb_0010.png,0.07999999999999999,-0.443,0.43,180
full_grid,rgb_0011.png,0.10500000000000001,-0.443,0.43,180
full_grid,rgb_0012.png,0.13000000000000003,-0.443,0.43,180
full_grid,rgb_0013.png,0.155,-0.443,0.43,180
full_grid,rgb_0014.png,0.18000000000000002,-0.443,0.43,180
full_grid,rgb_0015.png,0.205,-0.443,0.43,180
full_grid,rgb_0016.png,0.23,-0.443,0.43,180
full_grid,rgb_0017.png,0.255,-0.443,0.43,180
full_grid,rgb_0018.png,0.28,-0.443,0.43,180
full_grid,rgb_0019.png,0.30500000000000005,-0.443,0.43,180
full_grid,rgb_0020.png,0.32999999999999996,-0.443,0.43,180
full_grid,rgb_0021.png,0.355,-0.443,0.43,180
full_grid,rgb_0022.png,0.38,-0.443,0.43,180
full_grid,rgb_0023.png,-0.17,-0.418,0.43,180
full_grid,rgb_0024.png,-0.145,-0.418,0.43,180
full_grid,rgb_0025.png,-0.12000000000000002,-0.418,0.43,180
full_grid,rgb_0026.png,-0.095,-0.418,0.43,180
full_grid,rgb_0027.png,-0.07,-0.418,0.43,180
full_grid,rgb_0028.png,-0.04500000000000001,-0.418,0.43,180
full_grid,rgb_0029.png,-0.01999999999999999,-0.418,0.43,180
full_grid,rgb_0030.png,0.0050000000000000044,-0.418,0.43,180
full_grid,rgb_0031.png,0.03,-0.418,0.43,180
full_grid,rgb_0032.png,0.05499999999999999,-0.418,0.43,180
full_grid,rgb_0033.png,0.07999999999999999,-0.418,0.43,180
full_grid,rgb_0034.png,0.10500000000000001,-0.418,0.43,180
full_grid,rgb_0035.png,0.13000000000000003,-0.418,0.43,180
full_grid,rgb_0036.png,0.155,-0.418,0.43,180
full_grid,rgb_0037.png,0.18000000000000002,-0.418,0.43,180
full_grid,rgb_0038.png,0.205,-0.418,0.43,180
full_grid,rgb_0039.png,0.23,-0.418,0.43,180
full_grid,rgb_0040.png,0.255,-0.418,0.43,180
full_grid,rgb_0041.png,0.28,-0.418,0.43,180
full_grid,rgb_0042.png,0.30500000000000005,-0.418,0.43,180
full_grid,rgb_0043.png,0.32999999999999996,-0.418,0.43,180
full_grid,rgb_0044.png,0.355,-0.418,0.43,180
full_grid,rgb_0045.png,0.38,-0.418,0.43,180
full_grid,rgb_0046.png,-0.17,-0.393,0.43,180
full_grid,rgb_0047.png,-0.145,-0.393,0.43,180
full_grid,rgb_0048.png,-0.12000000000000002,-0.393,0.43,180
full_grid,rgb_0049.png,-0.095,-0.393,0.43,180
full_grid,rgb_0050.png,-0.07,-0.393,0.43,180
full_grid,rgb_0051.png,-0.04500000000000001,-0.393,0.43,180
full_grid,rgb_0052.png,-0.01999999999999999,-0.393,0.43,180
full_grid,rgb_0053.png,0.0050000000000000044,-0.393,0.43,180
full_grid,rgb_0054.png,0.03,-0.393,0.43,180
full_grid,rgb_0055.png,0.05499999999999999,-0.393,0.43,180
full_grid,rgb_0056.png,0.07999999999999999,-0.393,0.43,180
full_grid,rgb_0057.png,0.10500000000000001,-0.393,0.43,180
full_grid,rgb_0058.png,0.13000000000000003,-0.393,0.43,180
full_grid,rgb_0059.png,0.155,-0.393,0.43,180
full_grid,rgb_0060.png,0.18000000000000002,-0.393,0.43,180
full_grid,rgb_0061.png,0.205,-0.393,0.43,180
full_grid,rgb_0062.png,0.23,-0.393,0.43,180
full_grid,rgb_0063.png,0.255,-0.393,0.43,180
full_grid,rgb_0064.png,0.28,-0.393,0.43,180
full_grid,rgb_0065.png,0.30500000000000005,-0.393,0.43,180
full_grid,rgb_0066.png,0.32999999999999996,-0.393,0.43,180
full_grid,rgb_0067.png,0.355,-0.393,0.43,180
full_grid,rgb_0068.png,0.38,-0.393,0.43,180
full_grid,rgb_0069.png,-0.17,-0.368,0.43,180
full_grid,rgb_0070.png,-0.145,-0.368,0.43,180
full_grid,rgb_0071.png,-0.12000000000000002,-0.368,0.43,180
full_grid,rgb_0072.png,-0.095,-0.368,0.43,180
full_grid,rgb_0073.png,-0.07,-0.368,0.43,180
full_grid,rgb_0074.png,-0.04500000000000001,-0.368,0.43,180
full_grid,rgb_0075.png,-0.01999999999999999,-0.368,0.43,180
full_grid,rgb_0076.png,0.0050000000000000044,-0.368,0.43,180
full_grid,rgb_0077.png,0.03,-0.368,0.43,180
full_grid,rgb_0078.png,0.05499999999999999,-0.368,0.43,180
full_grid,rgb_0079.png,0.07999999999999999,-0.368,0.43,180
full_grid,rgb_0080.png,0.10500000000000001,-0.368,0.43,180
full_grid,rgb_0081.png,0.13000000000000003,-0.368,0.43,180
full_grid,rgb_0082.png,0.155,-0.368,0.43,180
full_grid,rgb_0083.png,0.18000000000000002,-0.368,0.43,180
full_grid,rgb_0084.png,0.205,-0.368,0.43,180
full_grid,rgb_0085.png,0.23,-0.368,0.43,180
full_grid,rgb_0086.png,0.255,-0.368,0.43,180
full_grid,rgb_0087.png,0.28,-0.368,0.43,180
full_grid,rgb_0088.png,0.30500000000000005,-0.368,0.43,180
full_grid,rgb_0089.png,0.32999999999999996,-0.368,0.43,180
full_grid,rgb_0090.png,0.355,-0.368,0.43,180
full_grid,rgb_0091.png,0.38,-0.368,0.43,180
