Episode,TotalReward,Epsilon
1,-0.041502212773305236,0.8307187014821328
2,-0.010961871041654692,0.5032248303978422
3,-0.013878734155091998,0.30483872516307353
4,-0.015967671657785787,0.1846622876013121
5,-0.005440399165893117,0.11186295456362313
6,-0.011372025109680717,0.0996820918179746
7,-0.01957098823028569,0.0996820918179746
8,-0.005174317260111971,0.0996820918179746
9,-0.00977451596070511,0.0996820918179746
10,-0.01345127828207604,0.0996820918179746
11,0.0011167165063391549,0.0996820918179746
12,-0.008557780414221283,0.0996820918179746
13,-0.0006804171148682148,0.0996820918179746
14,0.0014087374239667438,0.0996820918179746
15,-0.0008452711355120268,0.0996820918179746
16,-0.005525109124106531,0.0996820918179746
17,-0.0075145609237806665,0.0996820918179746
18,0.0009717847636282473,0.0996820918179746
19,-0.014874985021818832,0.0996820918179746
20,0.015445947405906657,0.0996820918179746
21,0.00128691030923489,0.0996820918179746
22,-0.008915200014437907,0.0996820918179746
23,-0.002424843985730951,0.0996820918179746
24,-1.833999296607658e-05,0.0996820918179746
25,0.00015217053244898082,0.0996820918179746
26,0.002793387555271254,0.0996820918179746
27,0.007825473722732568,0.0996820918179746
28,0.001889140852956439,0.0996820918179746
29,0.0047049575986098935,0.0996820918179746
30,0.015376985417110967,0.0996820918179746
31,-0.007019030284024286,0.0996820918179746
32,0.019942737472515515,0.0996820918179746
33,-0.009967913522294758,0.0996820918179746
34,0.014719601178945885,0.0996820918179746
35,-0.0025133499053916486,0.0996820918179746
36,0.0027282492528559743,0.0996820918179746
37,-0.0044846587512432645,0.0996820918179746
38,0.000999872669722568,0.0996820918179746
39,0.00753371156349969,0.0996820918179746
40,-0.0013972205063430554,0.0996820918179746
41,-0.007774822323289854,0.0996820918179746
42,0.009346174130274831,0.0996820918179746
43,-0.007070688370986344,0.0996820918179746
44,0.02215461815473141,0.0996820918179746
45,-0.0004226283687112087,0.0996820918179746
46,0.005440654537761214,0.0996820918179746
47,-0.0026516936776541655,0.0996820918179746
48,0.005339007801878348,0.0996820918179746
49,0.012642907035499862,0.0996820918179746
50,-0.006175727480412618,0.0996820918179746
51,-0.006808741117734107,0.0996820918179746
52,-0.0011541332275507576,0.0996820918179746
53,0.0008639053161951793,0.0996820918179746
54,-0.0040388926697843,0.0996820918179746
55,0.012077493642772996,0.0996820918179746
56,0.01393691438944078,0.0996820918179746
57,-0.00997304009546851,0.0996820918179746
58,0.0011680947313581491,0.0996820918179746
59,-0.0019031918185685726,0.0996820918179746
60,0.005812152453378294,0.0996820918179746
61,0.010116790902542694,0.0996820918179746
62,-0.006444226491827965,0.0996820918179746
63,-0.0023538110628488207,0.0996820918179746
64,0.0037348581594185415,0.0996820918179746
65,0.0031337177898899116,0.0996820918179746
66,0.006132707662235726,0.0996820918179746
67,0.019665928810996602,0.0996820918179746
68,0.005789359172254094,0.0996820918179746
69,-0.00044972521327035775,0.0996820918179746
70,0.009305903700219442,0.0996820918179746
71,0.001891097758904059,0.0996820918179746
72,0.0011623180808838507,0.0996820918179746
73,-0.005897305870258718,0.0996820918179746
74,0.013583034628414925,0.0996820918179746
75,0.019391881348598594,0.0996820918179746
76,0.01567001963364323,0.0996820918179746
77,0.007229010264279467,0.0996820918179746
78,0.012933044927355364,0.0996820918179746
79,-0.007924571357771582,0.0996820918179746
80,-0.00041382371215126224,0.0996820918179746
81,-0.0012672323932818585,0.0996820918179746
82,0.013439329000887845,0.0996820918179746
83,-0.006679349617065844,0.0996820918179746
