Unnamed: 0,frame_number,body_x,body_y,body_prob,time,headings,in_arena,body_x_cm,body_y_cm,rel_x,rel_y,rel_x_cm,rel_y_cm,food_rel_x,food_rel_y,food_rel_x_cm,food_rel_y_cm,dist_to_food_cm
359,359,544.0087280273438,362.11328125,0.9986079335212708,11.966666666666669,113.78323801590574,1.0,47.28321320107147,31.47353819555392,-54.99127197265625,250.11328125,-4.779636617798011,21.738915191024063,-78.99127197265625,-251.88671875,-6.8656272616258365,-21.893055775707957,22.94433980078397
360,360,543.9949340820312,362.1868896484375,0.9986542463302612,12.0,100.61391824007607,1.0,47.28201428270216,31.47993596348924,-55.00506591796875,250.1868896484375,-4.780835536167317,21.74531295895939,-79.00506591796875,-251.8131103515625,-6.866826179995143,-21.88665800777263,22.938594127266484
361,361,541.6445922851562,366.3023376464844,0.9986342787742616,12.033333333333331,119.73078672098389,1.0,47.07773132444888,31.837635380951145,-57.35540771484375,254.3023376464844,-4.985118494420598,22.10301237642129,-81.35540771484375,-247.6976623535156,-7.071109138248423,-21.52895859031073,22.660464303017587
362,362,540.9977416992188,368.6959533691406,0.9993890523910522,12.066666666666666,105.1223881691162,1.0,47.02150947985638,32.045679547716986,-58.00225830078125,256.6959533691406,-5.041340339013105,22.31105654318713,-82.00225830078125,-245.30404663085935,-7.12733098284093,-21.320914423544888,22.480663664471486
363,363,540.8738403320312,370.6733093261719,0.9994786381721495,12.1,93.58547294946622,1.0,47.01074043432676,32.21754396546217,-58.12615966796875,258.6733093261719,-5.052109384542713,22.482920960932315,-82.12615966796875,-243.32669067382807,-7.1381000283705385,-21.149050005799705,22.321173539104972
364,364,540.8738403320312,373.4197692871094,0.9993626475334167,12.133333333333333,90.0,1.0,47.01074043432676,32.45625603971897,-58.12615966796875,261.4197692871094,-5.052109384542713,22.72163303518912,-82.12615966796875,-240.58023071289065,-7.1381000283705385,-20.910337931542895,22.095128522512493
365,365,540.8738403320312,375.09613037109375,0.9993689656257628,12.166666666666666,90.0,1.0,47.01074043432676,32.60195910375516,-58.12615966796875,263.0961303710937,-5.052109384542713,22.86733609922531,-82.12615966796875,-238.90386962890625,-7.1381000283705385,-20.76463486750671,21.957288839834003
366,366,541.1677856445312,376.6368103027344,0.999116837978363,12.2,79.1983889685635,1.0,47.03628906647977,32.73586926719415,-57.83221435546875,264.6368103027344,-5.026560752389711,23.00124626266429,-81.83221435546875,-237.3631896972656,-7.112551396217537,-20.630724704067724,21.82235526195251
367,367,541.179931640625,376.8124694824219,0.9990137815475464,12.233333333333333,86.04456530108966,1.0,47.037344751238585,32.75113690908292,-57.820068359375,264.8124694824219,-5.025505067630897,23.01651390455307,-81.820068359375,-237.18753051757807,-7.111495711458723,-20.61545706217895,21.80757760817647
368,368,541.2011108398438,376.8351440429688,0.9990953207015992,12.266666666666666,46.95296161204491,1.0,47.03918556838084,32.75310769746433,-57.79888916015625,264.8351440429688,-5.023664250488644,23.018484692934475,-81.79888916015625,-237.1648559570312,-7.10965489431647,-20.61348627379754,21.805114287164784
