Unnamed: 0,frame_number,body_x,body_y,body_prob,time,headings,in_arena,body_x_cm,body_y_cm,rel_x,rel_y,rel_x_cm,rel_y_cm,food_rel_x,food_rel_y,food_rel_x_cm,food_rel_y_cm,dist_to_food_cm
386,386,428.8917541503906,438.9267578125,0.9992720484733582,12.866666666666667,53.20613082919607,1.0,37.56071760272027,38.43954526738688,-172.10824584960938,327.9267578125,-15.072589195058187,28.71858511006008,-194.10824584960935,-175.0732421875,-16.999265982996835,-15.332252359628052,22.892204052471513
387,387,431.7661743164063,440.4378051757813,0.998906135559082,12.9,27.730353277923854,1.0,37.81244844874959,38.571877080128246,-169.2338256835937,329.4378051757813,-14.820858349028862,28.85091692280144,-191.2338256835937,-173.5621948242187,-16.74753513696751,-15.19992054688669,22.616753033882414
388,388,434.1874694824219,442.9072265625,0.9985998272895812,12.933333333333334,45.56379066405799,1.0,38.024496321163696,38.78813966492052,-166.81253051757812,331.9072265625,-14.60881047661476,29.06717950759372,-188.81253051757807,-171.0927734375,-16.53548726455341,-14.983657962094409,22.31439770644153
389,389,436.1179809570313,445.2861022949219,0.9991996884346008,12.966666666666669,50.93988875624137,1.0,38.19356321420821,38.99647260378633,-164.8820190429687,334.2861022949219,-14.439743583570252,29.27551244645953,-186.8820190429687,-168.71389770507812,-16.3664203715089,-14.775325023228602,22.04926178625912
390,390,437.8627624511719,447.798095703125,0.9993977546691896,13.0,55.21691201207452,1.0,38.346364578062094,39.21646348519723,-163.13723754882812,336.798095703125,-14.286942219716364,29.49550332787043,-185.13723754882807,-166.201904296875,-16.213619007655012,-14.5553341418177,21.788510580242875
391,391,438.5134887695313,449.8104553222656,0.999545395374298,13.033333333333331,72.08061718176175,1.0,38.40335272773864,39.39269832916011,-162.4865112304687,338.8104553222656,-14.229954070039822,29.671738171833308,-184.4865112304687,-164.18954467773438,-16.15663085797847,-14.379099297854822,21.62857409304994
392,392,440.1328430175781,452.0330505371094,0.999449908733368,13.066666666666666,53.92340111937193,1.0,38.54516964779144,39.58734481140661,-160.86715698242188,341.0330505371094,-14.088137149987022,29.866384654079805,-182.86715698242188,-161.96694946289062,-16.01481393792567,-14.184452815608324,21.393292573715648
393,393,442.563720703125,454.7486572265625,0.9991455078125,13.1,48.166658027658514,1.0,38.75805672102149,39.82516737384935,-158.436279296875,343.7486572265625,-13.875250076756966,30.104207216522543,-180.436279296875,-159.2513427734375,-15.801926864695616,-13.946630253165583,21.076275478739177
394,394,443.3954772949219,456.8874816894531,0.9993778467178344,13.133333333333333,68.74969174958969,1.0,38.83089881732285,40.01247753049147,-157.60452270507812,345.8874816894531,-13.802407980455603,30.291517373164663,-179.60452270507812,-157.11251831054688,-15.729084768394252,-13.759320096523462,20.89791848892914
395,395,445.4917297363281,458.7452392578125,0.9983641505241394,13.166666666666666,41.54826007950676,1.0,39.01448067734636,40.17517291160853,-155.50827026367188,347.7452392578125,-13.618826120432097,30.454212754281727,-177.50827026367188,-155.2547607421875,-15.545502908370745,-13.5966247154064,20.652623666879794
396,396,447.8110656738281,460.9195861816406,0.9983968138694764,13.2,43.15198849164154,1.0,39.21759934617423,40.3655939910206,-153.18893432617188,349.9195861816406,-13.415707451604224,30.6446338336938,-175.18893432617188,-153.08041381835938,-15.342384239542874,-13.406203635994334,20.374372385021367
397,397,448.6066284179688,463.6788940429688,0.9990548491477966,13.233333333333333,73.91668775351687,1.0,39.28727172219626,40.60724373680231,-152.3933715820312,352.6788940429688,-13.346035075582195,30.886283579475503,-174.3933715820312,-150.3211059570312,-15.272711863520843,-13.164553890212623,20.163362983253627
398,398,449.8819885253906,466.50982666015625,0.9993876218795776,13.266666666666666,65.7480155331386,1.0,39.39896293652501,40.8551661077911,-151.11801147460938,355.50982666015625,-13.234343861253445,31.1342059504643,-173.11801147460938,-147.49017333984375,-15.161020649192093,-12.91663151922383,19.917226637477302
399,399,451.1939392089844,469.2144775390625,0.9995885491371156,13.3,64.12327048337603,1.0,39.513858615115936,41.09202920178503,-149.80606079101562,358.2144775390625,-13.119448182662522,31.37106904445823,-171.80606079101562,-144.7855224609375,-15.04612497060117,-12.679768425229897,19.676442868272837
400,400,452.00787353515625,470.5843505859375,0.999535083770752,13.333333333333334,59.28258596821752,1.0,39.5851399048042,41.21199750186853,-148.99212646484375,359.5843505859375,-13.048166892974256,31.491037344541724,-170.99212646484375,-143.4156494140625,-14.974843680912905,-12.559800125146404,19.544680157306352
401,401,453.5780029296875,473.5133361816406,0.9992961883544922,13.366666666666667,61.80575714326381,1.0,39.72264589837254,41.46850698184343,-147.4219970703125,362.5133361816406,-12.910660899405917,31.747546824516625,-169.4219970703125,-140.48666381835938,-14.837337687344563,-12.303290645171504,19.274790539662416
402,402,454.019287109375,475.5944519042969,0.9996032118797302,13.4,78.02820441296751,1.0,39.76129189773111,41.65076322529143,-146.980712890625,364.5944519042969,-12.872014900047349,31.929803067964624,-168.980712890625,-138.40554809570312,-14.798691687985997,-12.121034401723504,19.129055142474506
403,403,454.8356018066406,479.3822326660156,0.9995802044868468,13.433333333333334,77.83804747048072,1.0,39.83278165131633,41.982482737627976,-146.16439819335938,368.3822326660156,-12.800525146462128,32.261522580301175,-168.16439819335938,-134.61776733398438,-14.727201934400776,-11.789314889386954,18.864740188450483
404,404,455.0769653320313,481.3133850097656,0.9993632435798644,13.466666666666669,82.87587515576945,1.0,39.85391935594475,42.151605755567815,-145.9230346679687,370.3133850097656,-12.779387441833707,32.430645598241014,-167.9230346679687,-132.68661499023438,-14.706064229772355,-11.620191871447116,18.742923578231746
405,405,455.1076965332031,484.1941833496094,0.999480664730072,13.5,89.38881478919009,1.0,39.85661067830672,42.40389517793641,-145.89230346679688,373.1941833496094,-12.776696119471744,32.68293502060961,-167.89230346679688,-129.80581665039062,-14.70337290741039,-11.36790244907852,18.58543464506911
406,406,455.7825622558594,487.2472534179688,0.9993608593940736,13.533333333333331,77.53548673968932,1.0,39.9157128657075,42.671271506693614,-145.21743774414062,376.2472534179688,-12.71759393207096,32.95031134936681,-167.21743774414062,-126.7527465820312,-14.644270720009608,-11.10052612032132,18.375971948957325
407,407,456.0346984863281,490.3868103027344,0.9991864562034608,13.566666666666666,85.40845913891907,1.0,39.937794003100336,42.94622202370683,-144.96530151367188,379.3868103027344,-12.69551279467812,33.22526186638002,-166.96530151367188,-123.61318969726562,-14.622189582616768,-10.825575603308105,18.193447043727744
408,408,456.0346984863281,493.70062255859375,0.9995379447937012,13.6,90.0,1.0,39.937794003100336,43.23643316702277,-144.96530151367188,382.70062255859375,-12.69551279467812,33.515473009695974,-166.96530151367188,-120.29937744140624,-14.622189582616768,-10.535364459992154,18.02227323327587
409,409,455.7825622558594,496.5930480957031,0.999279797077179,13.633333333333333,94.98194885225584,1.0,39.9157128657075,43.48974085534958,-145.21743774414062,385.5930480957031,-12.71759393207096,33.76878069802277,-167.21743774414062,-117.40695190429688,-14.644270720009608,-10.282056771665356,17.893444508441632
410,410,455.4779968261719,499.272216796875,0.9993900060653688,13.666666666666666,96.48548987454912,1.0,39.88904017735352,43.72437231660047,-145.52200317382812,388.272216796875,-12.744266620424936,34.003412159273665,-167.52200317382812,-114.727783203125,-14.670943408363584,-10.047425310414464,17.781657286646933
411,411,455.0909423828125,501.4835205078125,0.9994900226593018,13.7,99.92816356181784,1.0,39.85514341318584,43.91802993164346,-145.9090576171875,390.4835205078125,-12.778163384592618,34.19706977431666,-167.9090576171875,-112.5164794921875,-14.704840172531268,-9.85376769537147,17.701103420240095
412,412,454.5340576171875,504.4655456542969,0.999298095703125,13.733333333333333,100.57798070725916,1.0,39.80637355175464,44.17918441486077,-146.4659423828125,393.4655456542969,-12.826933246023817,34.45822425753396,-168.4659423828125,-109.53445434570312,-14.753610033962463,-9.592613212154165,17.59793275564583
413,413,454.5260009765625,506.2415161132813,0.9994427561759948,13.766666666666666,90.25991892825678,1.0,39.80566798164188,44.33471719028759,-146.4739990234375,395.2415161132813,-12.827638816136586,34.613757032960784,-168.4739990234375,-107.7584838867187,-14.754315604075234,-9.437080436727342,17.51423181626644
414,414,454.5191345214844,507.8685607910156,0.9995923638343812,13.8,90.24179825298737,1.0,39.80506664347758,44.4772076090844,-146.48086547851562,396.8685607910156,-12.82824015430088,34.756247451757595,-168.48086547851562,-106.13143920898438,-14.754916942239529,-9.294590017930531,17.438376575065718
415,415,454.226318359375,511.6844482421875,0.999444305896759,13.833333333333334,94.38805285945011,1.0,39.77942291153806,44.81138859897346,-146.773681640625,400.6844482421875,-12.853883886240398,35.09042844164665,-168.773681640625,-102.3155517578125,-14.780560674179046,-8.960409028041475,17.28449894538153
416,416,452.9547729492188,514.333984375,0.9994561076164246,13.866666666666667,115.63692934772652,1.0,39.66806577396725,45.04342495196866,-148.0452270507812,403.333984375,-12.96524102381121,35.32246479464186,-170.0452270507812,-99.666015625,-14.891917811749858,-8.728372675046268,17.261335570181323
417,417,452.7073669433594,516.4177856445312,0.9994755387306212,13.9,96.77092915040906,1.0,39.64639889175425,45.225916385454255,-148.29263305664062,405.4177856445313,-12.986907906024207,35.50495622812745,-170.29263305664062,-97.58221435546876,-14.913584693962855,-8.54588124156068,17.18857453714129
418,418,452.4786071777344,519.4028930664062,0.9994256496429444,13.933333333333334,94.3822212799875,1.0,39.62636497673407,45.487340802691975,-148.52139282226562,408.4028930664063,-13.00694182104439,35.766380645365174,-170.52139282226562,-94.59710693359376,-14.933618608983036,-8.284456824322955,17.077622481851378
